evaluation,offline_var_0,offline_var_1,offline_var_2,offline_var_3,offline_var_4,offline_var_5,offline_var_6,offline_var_7,offline_var_8,offline_var_9,offline_var_10,offline_var_11,offline_var_12,offline_var_13,offline_var_14,offline_var_15,offline_var_16,offline_var_17,offline_var_18,offline_var_19,offline_var_20,offline_var_21,offline_var_22,offline_var_23,offline_var_24,offline_var_25,offline_var_26,offline_var_27,offline_var_28,offline_var_29,obj_Maximize_Volume,con_Maintain_L/D_Ratio,30_DV_Model_cl,30_DV_Model_cd,30_DV_Model_Volume,30_DV_Model_CL,30_DV_Model_CD,30_DV_Model_K,30_DV_Model_-CL,30_DV_Model_-CD,30_DV_Model_-K,convergence_metric,acqf_value
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.067797334,0.161908777,4.156026987,0.894221955,9.067797334,4.156026987,0.894221955,4.53,-4.156026987,-0.894221955,-4.647645885,0.084287822,
2,0.270036513,0.117669976,0.038857557,0.049684018,0.15264847,0.092230288,-0.120267524,-0.025782834,-0.062323041,-0.17869611,0.006971691,-0.034319997,0.11533988,0.421805635,-0.039038405,0.373717695,-0.03648774,0.357033768,0.329080658,0.153862918,0.034353812,0.058674614,0.101569578,0.037433364,0.178172149,0.176674642,-0.000817048,0.192237397,-0.021323274,0.051849058,12.0518461,-0.685746148,3.773342347,0.992987191,12.0518461,3.773342347,0.992987191,3.799990959,-3.773342347,-0.992987191,-3.799990959,0.084287822,
3,-0.062234786,0.00621192,0.077657346,-0.14572059,-0.023703836,-0.05511818,0.107042412,0.000645371,-0.073203577,-0.007071234,-0.128378151,-0.097638174,0.333357479,0.130850833,0.214779863,-0.037720577,0.277667114,-0.046993008,0.058124781,0.245046729,0.248744059,0.129113929,0.269359575,0.291833637,-0.017592832,0.071064335,0.166191961,-0.035159605,0.067062695,0.011345343,12.35941951,-0.767530442,3.933014852,1.057771987,12.35941951,3.933014852,1.057771987,3.718206665,-3.933014852,-1.057771987,-3.718206665,0.084287822,
4,0.094037273,0.256881723,-0.034340092,0.215125949,-0.243834207,-0.128011886,-0.038851172,0.083535868,-0.151807279,-0.027870555,-0.102866158,-0.106222647,0.013813516,0.28512294,0.433743893,0.236449546,0.243031438,0.186724097,-0.023631654,0.003256599,0.05882166,0.233962141,-0.039147453,0.075278204,0.091659762,0.027234512,0.058166294,0.054328974,0.053834416,0.009627121,11.43797245,-0.084429746,3.682041036,0.836578938,11.43797245,3.682041036,0.836578938,4.401307361,-3.682041036,-0.836578938,-4.401307361,0.084287822,
5,0.182582649,-0.025614984,0.151860473,-0.035898554,0.12353435,0.115894532,0.033063985,-0.062039094,0.027548503,-0.106290711,-0.058086449,-0.003234252,0.395400118,-0.043217522,0.155543971,0.063030622,0.104323307,0.142027644,0.188372822,0.394248672,0.180707358,0.023093641,0.12591442,0.158547538,0.068582775,0.140231158,0.076049795,0.102041506,0.139414356,0.087248476,11.96232835,-0.693930086,3.638331129,0.95952434,11.96232835,3.638331129,0.95952434,3.791807021,-3.638331129,-0.95952434,-3.791807021,0.084287822,
6,0.206243188,0.245584412,0.108440533,-0.056761535,0.017331103,0.036888801,-0.019949958,0.097340962,-0.195519158,0.04558669,-0.062061478,0.023347825,-0.061264896,0.102970355,0.043593783,0.136866122,0.074373061,0.080200443,0.029241361,0.070827406,-0.01796545,0.088249727,0.026000424,0.172882723,0.039563832,-0.002428498,0.041403522,-0.00847585,-0.00512032,0.067146587,9.489984565,0.017121402,3.978099712,0.883460962,9.489984565,3.978099712,0.883460962,4.502858509,-3.978099712,-0.883460962,-4.502858509,0.084287822,
7,0.018748144,-0.115248959,-0.004910316,0.233013651,-0.145366896,-0.02475647,0.052004032,-0.107632455,0.068165094,-0.157233389,-0.017286805,-0.132630848,0.470177057,0.450271263,0.340009851,0.203346855,0.185541824,0.244561288,0.240310141,0.163192677,0.278500627,0.156200854,0.191062297,0.092287569,0.120955923,0.111317538,0.124593998,0.157155683,0.08614985,0.025959208,14.24295139,-0.930268788,3.36724303,0.947060338,14.24295139,3.36724303,0.947060338,3.55546832,-3.36724303,-0.947060338,-3.55546832,0.084287822,
8,-0.098939106,0.16177369,0.1816924,-0.230318857,-0.116262597,-0.197326779,-0.101215083,-0.040055488,-0.018611217,-0.108224371,0.008400297,-0.073869929,0.190445923,0.003225346,0.257064054,-0.00227146,0.344524448,0.014677376,0.396932844,-0.079559032,0.088580877,0.191534329,0.078731309,0.231872213,0.011375196,0.151579467,-0.047717984,0.127795297,0.031962821,-0.006648042,12.15912039,-0.95838334,4.529872644,1.284212739,12.15912039,4.529872644,1.284212739,3.527353767,-4.529872644,-1.284212739,-3.527353767,0.084287822,
9,0.392748634,0.076151658,-0.079204382,0.132380152,0.237470813,0.160327019,0.126133686,0.046706296,-0.113820237,-0.060999357,-0.126943614,-0.057911578,0.258534921,0.238094918,-0.012827287,0.305969311,0.009077452,0.298856339,0.125041257,0.312174743,0.128380107,-0.017459641,0.24652131,-0.019853879,0.148807784,0.045003773,0.182528131,0.022059718,0.126041076,0.07355745,11.35562603,-0.720638191,2.978531317,0.791089791,11.35562603,2.978531317,0.791089791,3.765098916,-2.978531317,-0.791089791,-3.765098916,0.084287822,
10,0.35308182,0.291758861,0.163751819,0.299473986,-0.057634611,0.139797501,-0.006244794,0.119392353,-0.182916182,-0.083033756,-0.112099269,-0.025660042,0.439362157,0.014600339,0.395637075,0.123496786,0.213156472,0.114188388,0.005393816,0.014737507,-0.044440071,0.172436515,0.044854396,0.203997808,0.136492173,0.189447492,0.151300614,0.151346822,0.098011408,-0.019250799,10.21645852,-0.289906131,3.191971202,0.760748281,10.21645852,3.191971202,0.760748281,4.195830976,-3.191971202,-0.760748281,-4.195830976,0.084287822,
11,-0.146889308,-0.056359341,-0.099485633,-0.101994632,0.187051548,-0.102782725,0.065624703,-0.094053976,0.047064309,-0.036410528,0.021513751,-0.083714492,-0.087473058,0.229643742,0.124937949,0.17498867,0.126757055,0.219227934,0.277164795,0.346725482,0.260546664,0.102013733,0.21537269,0.114780246,0.045218909,0.089408171,-0.016598919,0.019410823,0.004011366,0.082415043,13.14121971,-0.794607891,4.011822204,1.086882081,13.14121971,4.011822204,1.086882081,3.691129216,-4.011822204,-1.086882081,-3.691129216,0.084287822,
