evaluation,offline_var_0,offline_var_1,offline_var_2,offline_var_3,offline_var_4,offline_var_5,offline_var_6,offline_var_7,offline_var_8,offline_var_9,offline_var_10,offline_var_11,offline_var_12,offline_var_13,offline_var_14,offline_var_15,offline_var_16,offline_var_17,offline_var_18,offline_var_19,offline_var_20,offline_var_21,offline_var_22,offline_var_23,offline_var_24,offline_var_25,offline_var_26,offline_var_27,offline_var_28,offline_var_29,offline_var_30,offline_var_31,offline_var_32,offline_var_33,offline_var_34,offline_var_35,offline_var_36,offline_var_37,obj_Maximize_Volume,con_Maintain_L/D_Ratio,38_DV_Model_cl,38_DV_Model_cd,38_DV_Model_Volume,38_DV_Model_CL,38_DV_Model_CD,38_DV_Model_K,38_DV_Model_-CL,38_DV_Model_-CD,38_DV_Model_-K,convergence_metric,acqf_value
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.067777351,0.045322136,4.122615646,0.909625194,9.067777351,4.122615646,0.909625194,4.532213566,-4.122615646,-0.909625194,-4.532213566,0.082194207,
2,0.168458652,0.262021869,0.070524668,0.155174752,0.239808688,-0.06801682,0.106810849,-0.100828017,0.026505446,-0.178719901,-0.13780107,-0.134914397,0.142416645,0.43925377,0.306755999,0.116545156,-0.036114364,0.167568327,0.023408705,0.030373601,0.064862961,0.000963322,0.259965957,0.038625563,0.139954919,0.153160257,-0.032104003,-0.022541194,0.090582646,0.062066786,-0.055171974,0.099559403,0.033782294,-0.138558189,0.014104135,-0.139572293,-0.008444005,-0.011412035,10.73063121,-0.365255205,3.603446418,0.874275705,10.73063121,3.603446418,0.874275705,4.121636226,-3.603446418,-0.874275705,-4.121636226,0.082194207,
3,-0.020710511,0.026502603,0.041796163,-0.238252932,-0.169356651,0.046692003,-0.049482557,0.114898937,-0.189171291,-0.006011859,-0.054515563,-0.031188252,0.499252375,0.017268782,0.074411275,0.316656488,0.244107117,0.082762805,0.27734463,0.271080481,0.238817145,0.2420483,-0.020313201,0.233112463,0.045677286,0.027133309,0.103583855,0.119723093,8.59E-05,0.021660128,0.090349565,-0.061853617,-0.146158371,-0.074120617,-0.101896245,-0.019166588,-0.107614532,-0.046478269,13.65804629,-0.963790857,4.077933936,1.157484395,13.65804629,4.077933936,1.157484395,3.523100574,-4.077933936,-1.157484395,-3.523100574,0.082194207,
4,0.065858411,0.102883111,0.170931241,0.290464809,-0.061105416,0.198613024,0.027379993,0.048595531,-0.122996845,-0.034652331,0.020680727,0.006803117,0.027898781,0.20819357,-0.075430683,-0.07842997,0.268469045,0.321187337,0.280248489,0.110960804,-0.031009521,0.169467801,0.137854441,0.07963008,0.194020351,0.043894984,0.051538435,0.175252514,0.148180607,-0.001551442,-0.024834603,0.020618031,-0.014283655,0.014485704,-0.168271119,-0.023068439,-0.021678151,-0.027749334,10.87710861,-0.431032884,3.339121935,0.823283627,10.87710861,3.339121935,0.823283627,4.055858547,-3.339121935,-0.823283627,-4.055858547,0.082194207,
5,0.289213419,-0.030942928,-0.082297244,-0.107790107,0.100276569,-0.113945326,-0.119368794,-0.032672782,-0.043873213,-0.080392233,-0.07856802,-0.080069915,0.309553913,0.099308017,0.397467208,0.271467108,0.149111667,-0.073192308,0.058174854,0.347209038,0.139184599,0.061570362,0.12244814,0.191929232,-0.015149518,0.135539991,0.177031338,0.04750302,0.057729966,0.077875924,0.03315813,-0.033580252,-0.098690667,-0.165280227,-0.055880946,-0.072072549,-0.059596249,-0.088410739,12.6176164,-0.588945942,3.84181377,0.985599666,12.6176164,3.84181377,0.985599666,3.897945488,-3.84181377,-0.985599666,-3.897945488,0.082194207,
6,0.374899799,0.149507662,-0.018935628,-0.023031595,0.054799894,-0.037015457,0.07034445,0.009654316,-0.068163108,0.044443335,0.005024709,-0.089714311,-0.041700761,-0.03847403,0.360558405,0.168191194,0.067666056,-0.001410434,0.390445451,-0.024181256,0.121631988,0.017874077,0.182300805,0.144579973,0.018689257,0.089679208,0.034496752,0.093214374,0.072340136,0.046571726,-0.029070648,0.05201477,-0.127907638,-0.004171832,-0.124189181,0.016256002,-0.090190283,-0.074362936,10.98626184,-0.079075969,3.537248494,0.802494688,10.98626184,3.537248494,0.802494688,4.407815462,-3.537248494,-0.802494688,-4.407815462,0.082194207,
7,0.048250644,-0.084165891,0.102219213,0.197125872,-0.094710348,0.052759784,-0.09040041,-0.025706747,-0.029511147,-0.159089076,-0.097914295,0.014363104,0.201199703,0.383520284,0.024693239,0.038899317,0.349500453,0.393999618,0.13636376,0.212900317,0.292509417,0.195695986,0.079517088,0.127155402,0.170422589,0.090823979,0.161925524,0.011600792,-0.018197551,0.037125592,0.012734756,-0.089208873,-0.059107904,-0.183474975,-0.0064435,-0.11794933,0.008967219,-0.040960388,13.24313274,-0.901553819,3.574147742,0.996878991,13.24313274,3.574147742,0.996878991,3.585337612,-3.574147742,-0.996878991,-3.585337612,0.082194207,
8,-0.141241614,0.213500324,-0.039780721,-0.149204742,-0.238239429,0.104929982,0.131679575,-0.076990593,0.039222348,-0.131182535,-0.105720465,-0.037672308,0.072832817,0.192599493,0.106689257,0.363091156,0.163102486,0.153238972,-0.054004212,0.04564705,-0.000365909,0.111090315,0.215839844,0.270509654,0.072887955,0.196771265,-0.015091627,0.073663661,0.11021252,-0.01701717,-0.097039079,0.030699004,-0.175466823,-0.098885446,-0.062080644,-0.10065709,-0.077003064,-0.059685707,12.10452678,-0.79353168,4.144217455,1.122072512,12.10452678,4.144217455,1.122072512,3.693359751,-4.144217455,-1.122072512,-3.693359751,0.082194207,
9,0.219568355,0.081519985,0.156119855,0.074707001,0.167168217,-0.182708872,-0.001239248,0.062848548,-0.132692387,-0.054130802,-0.031741369,-0.124896654,0.390919028,0.301475724,0.20253757,0.084130963,0.045255829,0.237014096,0.168217019,0.285754482,0.172905677,0.079521304,0.0229376,0.001052146,0.109686965,-0.017126638,0.118718981,0.141693696,0.019802888,0.093370792,0.056870726,-0.018712883,-0.011133435,-0.033985198,-0.1762021,-0.064789532,-0.039072407,0.00263886,12.15101526,-0.499187489,3.48039849,0.872782569,12.15101526,3.48039849,0.872782569,3.987703942,-3.48039849,-0.872782569,-3.987703942,0.082194207,
10,0.261251468,0.137703319,-0.059047762,0.182717886,-0.146454532,-0.131134204,0.04236104,0.015285349,-0.097325434,-0.10162712,-0.016888397,-0.149882764,0.247748566,0.158916109,-0.049981602,0.195035666,0.296064964,-0.042922313,0.361800168,0.147690572,0.090137387,0.209489249,0.240534027,0.166917238,0.1553535,0.162467923,0.077054294,-0.000213858,-0.022377387,-0.008041329,-0.049670308,-0.038751294,0.047338247,-0.019491971,-0.088955063,-0.09384751,0.017746954,-0.095452045,12.16847176,-0.351222245,3.45424758,0.835233048,12.16847176,3.45424758,0.835233048,4.135669186,-3.45424758,-0.835233048,-4.135669186,0.082194207,
