Id,ratio[0],ratio[1],ratio[2],ratio[3],ratio[4],ratio[5],ratio[6],ratio[7],ratio[8],ratio[9],ratio[10],ratio[11],ratio[12],ratio[13],ratio[14],ratio[15],ratio[16],ratio[17],ratio[18],ratio[19],ratio[20],ratio[21],ratio[22],ratio[23],ratio[24],ratio[25],ratio[26],ratio[27],ratio[28],ratio[29],cd,cl,cm,cy,Cx,Cy,Cz,Cmx,Cmy,Cmz,Volume
0,0.396944444,0.132,-0.07180301,0.263806578,0.045419946,-0.112503311,0.089752897,0.11661746,0.053956107,-0.080023986,-0.002411135,-0.001675592,0.193338433,0.210802788,0.173555005,0.075479722,0.056270485,0.135868632,0.324669021,-0.076942615,0.078399797,0.038364786,0.040313175,0.054989404,0.148412901,0.030647293,0.004088231,0.199884995,-0.026038137,0.009433579,0.711065674,3.218371146,-17.42194158,3.26013279,0.480846429,3.23017526,7.79E-05,-0.000546981,0.000656523,17.262095,10.607205
1,0.390833333,-0.12,0.146297014,-0.065774793,-0.105856318,-0.059465646,0.105158529,-0.048516451,-0.193159023,-0.006614939,0.018129825,-0.040333437,0.488133953,0.176027604,-0.083807362,0.036478213,-0.030763011,0.265152374,0.216056362,-0.054391633,0.147512947,0.110363227,0.035072979,0.046156379,0.157406769,0.123111552,0.186183568,-0.002102159,0.064952994,0.069647775,0.895516093,3.285570163,-17.47377732,3.340034723,0.660043816,3.33035318,-1.50E-05,0.000336052,-3.09E-05,17.4816421,11.654181
2,-0.052222222,0.174,-0.057796476,-0.224231887,-0.232412829,0.162417487,0.132230547,0.02705729,-0.022751034,-0.109478504,0.005490153,-0.081376255,-0.068654748,0.077547564,-0.03661907,0.349537025,0.118729644,0.262386222,0.151378504,0.046000615,0.231492804,0.089929315,0.258039905,0.056676546,-0.018643984,0.049046998,0.124800848,0.108343806,-0.00568937,0.053212909,1.132131554,4.014305049,-23.40301072,4.083499908,0.842460244,4.04919223,-8.82E-05,0.002963274,0.000790531,23.2423935,11.766504
3,0.338888889,0.2832,0.141053319,-0.097112867,0.135062817,-0.080807988,0.127200599,0.025753785,-0.132942765,-0.176417438,-0.044480843,-0.068983917,-0.049379692,0.159807165,0.137806199,0.344351001,0.142305245,0.337524373,-0.043577327,-0.053074533,0.218552132,0.118638835,-0.016101561,0.078318515,0.029870262,0.185424702,0.052223392,-0.011530614,0.102929192,0.0046742,0.940152174,3.741162848,-21.85718765,3.797631264,0.668966744,3.75421086,3.14E-05,0.000953018,-0.000523992,21.5993694,10.344804
4,0.393888889,0.111,0.002437377,-0.055928504,-0.160724464,-0.181887092,0.117985635,-0.098406476,0.042068629,-0.071207094,-0.09501104,-0.009165552,0.430800856,0.362156248,0.14707224,0.228239746,-0.042939252,0.074069563,0.190365172,0.308434821,0.113394906,-0.029219147,0.229911088,0.077356812,0.069626171,0.07100346,0.025275172,0.002263359,0.078538056,-0.018271494,0.867339621,3.461503141,-19.2548488,3.513573647,0.620211229,3.48515854,5.54E-05,0.000790011,-1.95E-06,19.1319645,12.648522
5,0.066944444,0.2076,0.105985017,-0.166455072,0.139791316,-0.085354889,-0.060285587,0.064142756,-0.183149699,-0.025430795,-0.019999801,-0.085172456,0.047046196,-0.002977335,0.080091742,0.132674068,-0.048256511,0.104946647,0.038472521,0.240340845,-0.003826297,0.240131141,0.181618944,0.156771952,0.043623896,-0.015440647,0.065676603,0.158121133,0.003699918,0.0895452,1.102375869,4.24669504,-25.14786305,4.313248158,0.795153321,4.25080104,-4.80E-05,0.000516845,0.000322207,24.7611378,10.660275
6,0.128055556,0.0858,-0.079257918,0.088307084,0.218140773,0.001736938,-0.142534639,0.030732552,0.000226114,-0.016508299,-0.065678834,-0.047471645,0.094435559,0.01985588,0.113198339,0.058869283,-0.004408471,0.031403758,0.340756245,-0.049563153,0.029813736,-0.00703778,0.083156471,0.236745616,0.167729228,0.076656548,-0.006324254,0.123418866,0.004324239,0.031652417,0.918462168,3.863759743,-22.31332568,3.9184165,0.639426945,3.86481675,0.00028662,0.002188931,-0.002148675,21.962062,10.461198
7,0.125,0.1362,0.174505498,-0.194672977,0.098488003,0.199032813,0.122310661,-0.093540968,-0.181789427,-0.156605589,-0.02250161,-0.080393774,0.387594878,0.094860119,0.143996577,-0.063885811,0.335631962,0.138115112,-0.006745999,0.02158562,0.004664719,0.188540647,0.295917901,0.122968456,0.081296893,0.150185665,0.101087203,0.101056044,0.092634549,0.084278376,1.10756278,3.863100572,-22.62499206,3.930949926,0.826849448,3.8899724,9.08E-05,0.002431887,-0.000634689,22.4136263,10.757883
8,0.134166667,0.2748,-0.000843381,-0.001516381,0.023334537,0.190097265,-0.089571418,-0.078500367,0.04850539,0.031802772,-0.002953875,0.01091029,0.367398426,0.158240283,0.036777435,0.318305448,-0.003931267,0.045474862,0.38500654,0.36575341,0.064365335,-0.010977035,0.24702436,0.013991129,-0.008196266,0.104962189,0.132809795,-0.012765003,0.034107685,0.011842936,0.974344584,3.690921059,-21.68724791,3.749897003,0.708898149,3.71029543,-4.11E-05,0.000557207,0.000587975,21.4537491,11.820909
9,0.29,-0.0906,-0.081574863,0.022880962,-0.211844732,-0.180675324,0.014383604,-0.111205099,-0.149903641,-0.122085973,-0.062974172,-0.036404524,0.370344515,0.368247365,0.322779755,0.34866633,0.088568211,-0.018660428,0.109005681,-0.01077955,0.053332383,0.246837982,0.114137298,0.056964873,0.02348404,0.194056986,0.011212499,0.125869227,-0.006054951,0.049378152,0.939252894,3.760634746,-20.92411502,3.816992998,0.670761256,3.79728613,-4.17E-05,0.001738727,0.000291906,20.8549749,12.673971
10,0.054722222,-0.099,-0.061476464,0.187186172,0.141891952,-0.163645088,-0.111747299,0.1146525,0.004840769,-0.075342723,-0.001160198,-0.01632627,0.439673772,0.233063979,-0.058407517,0.196467764,0.248212006,-0.068186636,0.259029549,0.293119376,0.011077665,0.180452327,-0.048027048,0.088485207,0.131787437,0.179049973,0.167794495,0.110823203,0.141810026,-0.008740176,0.937082239,3.751711674,-21.59702124,3.807940245,0.667383621,3.75250297,-1.11E-06,0.00148162,-5.86E-05,21.241272,12.182644
11,0.085277778,0.2454,0.128734278,0.077153722,0.101271032,-0.035899745,0.096334791,0.10424641,-0.031462985,-0.042784894,0.016369537,-0.00888539,0.477251106,0.491023622,0.370217641,0.258811982,0.094118329,0.002951909,0.377913689,0.000359838,0.242450323,0.020298917,0.09756082,0.180885457,0.161128429,0.055629369,0.016667859,0.104064187,0.067677742,0.071152223,0.901935174,3.519158502,-20.79516466,3.573501825,0.647119928,3.51095337,6.59E-05,0.001733829,-7.86E-05,20.4003967,12.559319
12,0.063888889,0.2034,0.056203861,0.187554514,-0.167200613,0.117799335,0.01542172,-0.06081798,0.06565164,-0.139666085,-0.085949281,-0.063435052,0.296470492,0.113333089,0.237428047,0.390836476,0.111825095,0.368011677,0.315127038,0.39792146,0.106657153,0.189489951,0.028868276,0.233004949,0.151175219,0.190134845,-0.019367472,0.038570336,0.031670196,0.061738206,0.936795222,3.511593805,-20.51634141,3.56838727,0.685169584,3.53040725,-4.66E-05,0.001270262,0.000241155,20.3054924,13.50734
13,-0.064444444,0.153,-0.05414313,0.154791612,0.032941839,0.110313381,-0.002987231,0.016733596,-0.169984761,-0.195722479,-0.032198816,-0.130069563,0.003531598,0.272371722,0.185243432,0.092758726,0.012700328,0.041642203,0.013906228,0.052771628,0.085817957,0.160600729,0.118059018,0.200230677,0.158603502,-0.014615764,0.148953596,0.041504127,0.036015571,0.01000183,0.969557315,4.034406436,-23.51102693,4.092211723,0.680726436,4.03235618,9.46E-05,0.002424681,-0.00058802,23.1550879,10.722677
