<ID>,dv_0,dv_1,dv_2,dv_3,dv_4,dv_5,dv_6,dv_7,dv_8,dv_9,dv_10,dv_11,dv_12,dv_13,dv_14,dv_15, Cx , CY , CZ , CMx , CMY , CMZ 
0,-7.91E-02,-1.30E-01,2.74E-02,-1.02E-01,-1.37E-01,-1.01E-01,-9.96E-02,-5.66E-02,-5.80E-02,-4.83E-02,-1.68E-03,-8.22E-03,-2.06E-02,9.31E-03,-2.62E-02,-2.20E+01,0.060614,0.415482,-0.005633,-0.103055,0.009824,0.261268
1,-9.97E-02,-3.25E-02,-1.27E-01,-2.14E-02,-1.88E-01,-1.59E-01,-8.06E-02,-9.21E-03,-7.08E-02,-1.85E-02,-7.16E-02,-3.42E-02,-1.42E-02,-1.94E-03,-5.18E-02,-2.06E+01,0.057958,0.364564,0.001253,-0.087619,0.002981,0.218015
2,-1.93E-01,-4.64E-03,-1.40E-01,6.01E-03,-9.66E-02,-1.21E-01,-7.26E-02,-6.79E-02,-4.39E-02,-7.09E-03,-4.08E-02,8.25E-03,-5.42E-02,-5.29E-02,1.06E-02,-2.97E+01,0.062331,0.426422,-0.000676,-0.110234,0.006791,0.262247
3,-1.98E-01,-1.61E-01,-1.12E-01,-1.47E-01,-1.41E-01,-1.14E-01,-4.94E-03,-7.59E-03,-1.10E-01,-7.53E-02,-5.90E-02,-6.70E-02,-3.67E-02,-5.57E-02,-5.84E-02,-2.42E+01,0.059389,0.329854,0.004619,-0.075059,0.002151,0.188075
4,-1.06E-01,-1.70E-01,-1.90E-01,-1.73E-01,-1.28E-01,-5.95E-03,-3.49E-02,-6.21E-02,1.49E-02,-8.20E-03,-4.75E-02,5.69E-03,-3.39E-02,-2.27E-03,-4.74E-02,-3.14E+01,0.063303,0.450035,-0.004095,-0.115519,0.010852,0.283333
5,-1.10E-01,4.12E-02,-9.48E-02,-1.42E-01,-1.39E-01,-5.16E-02,1.22E-02,3.34E-03,-8.84E-02,-5.03E-02,-6.13E-02,-5.64E-02,-2.78E-02,-2.27E-02,-1.06E-02,-2.91E+01,0.060772,0.386253,-0.000286,-0.093729,0.006109,0.22975
6,-1.46E-01,1.64E-02,-1.34E-02,-1.11E-01,1.06E-02,-1.62E-01,-1.03E-01,-1.76E-02,-2.97E-02,-5.33E-02,-6.53E-02,-8.84E-03,9.15E-03,-5.60E-02,4.55E-04,-2.17E+01,0.061209,0.416937,-0.005569,-0.102754,0.009791,0.262749
7,4.46E-02,-1.31E-01,-1.02E-01,-4.96E-02,-5.70E-02,-8.22E-02,-8.09E-02,-1.18E-02,-1.05E-01,-2.05E-02,-3.26E-02,-7.19E-02,-1.05E-02,-5.43E-02,-1.44E-02,-2.45E+01,0.059063,0.363339,0.000887,-0.086549,0.003527,0.212487
8,-1.19E-01,-1.54E-01,-1.57E-02,-1.53E-01,-4.16E-02,1.75E-02,-9.43E-02,-1.17E-01,-1.45E-02,-5.24E-02,-6.46E-02,-7.10E-03,-1.00E-02,-3.73E-02,-4.79E-02,-4.85E+01,0.066931,0.471459,-0.000046,-0.125329,0.009914,0.286943
9,-7.19E-03,2.10E-02,-1.48E-02,-1.89E-02,-7.10E-02,-7.97E-02,1.42E-02,-4.54E-02,-3.09E-02,1.29E-02,-2.61E-02,1.71E-02,1.85E-02,-1.53E-02,-1.74E-02,-4.48E+01,0.06301,0.512245,-0.002487,-0.141325,0.008288,0.314491
