<ID> ,ratio[0]                ,ratio[1]                ,ratio[2]                ,ratio[3]                ,ratio[4]                ,ratio[5]                ,ratio[6]                ,ratio[7]                ,ratio[8]                ,ratio[9]                ,ratio[10]               ,ratio[11]               ,ratio[12]               ,ratio[13]               ,ratio[14]               ,ratio[15]               ,Cx,CY,CZ,CMx,CMY,CMZ
0,-0.083986806,-0.03338093,-0.044506955,-0.159917814,-0.1197912,-0.054714842,0.011256773,0.007119442,-0.113494083,-0.060738903,-0.008975809,-0.002390127,0.004998701,-0.005391213,-0.026809675,12.99694452,0.015820083,0.073376253,-0.023463936,-0.012013233,0.017625304,0.049287743
1,-0.098720458,-0.043625595,0.028139985,-0.1591204,-0.147642921,-0.050855123,0.019456962,-0.058656328,0.014280364,-0.027139908,0.005426916,-0.016589616,0.002523843,-0.053377117,0.006578205,10.49948881,0.016210875,0.075635778,-0.023686802,-0.012916631,0.018020922,0.051451645
2,0.037273249,-0.199294067,-0.141447837,0.03024756,-0.063440477,-0.047699089,0.003631084,-0.097472442,-0.035521517,-0.036253909,0.010142245,-0.079126545,-0.004534831,-0.018747655,-0.04653496,16.39130845,0.016426581,0.073918825,-0.025039302,-0.011948184,0.018683494,0.049146607
3,-0.082158281,-0.132178514,-0.115098949,-0.038638381,0.020860318,-0.103361887,-0.069409317,-0.001062418,-0.081590952,-0.024685427,0.004759662,0.000990918,-0.034073658,0.010666678,-0.000598296,5.984170931,0.017943132,0.081911256,-0.025436369,-0.015180608,0.01995949,0.056417985
4,0.027740889,-0.078629666,-0.128205931,-0.157313806,-0.079508462,0.012262322,0.01388933,-0.024908421,-0.105128224,-0.077253867,0.013779202,-0.024882408,0.001789717,-0.025218425,-0.01095214,18.44497249,0.014775035,0.068495895,-0.022611286,-0.010197373,0.016559214,0.044881885
5,0.003020457,-0.07199786,-0.18057721,-0.12453698,-0.181396263,-0.130908679,-0.098260643,-0.025320305,0.019952,-0.050110955,-0.025711379,0.016609163,-0.016176118,0.013349073,0.015847799,14.48153133,0.016568935,0.071654832,-0.023232322,-0.011406362,0.016868425,0.046519988
6,-0.175940573,-0.147458879,-0.186753604,0.013682743,-0.09929218,-0.091027488,-0.104208324,-0.065268779,-0.082587487,0.011828556,-0.016663887,-0.066104332,-0.007102519,0.007795853,0.016436055,7.489497787,0.017987782,0.080084621,-0.025566727,-0.014998702,0.019520298,0.0540908
7,-0.147653976,-0.030988945,-0.114747113,-0.190666897,-0.092592069,0.01363252,0.002772931,-0.000151889,-0.01260568,-0.058211972,0.002610087,-0.015611659,0.006251634,-0.028349673,-0.057294691,7.729657447,0.016997519,0.077166735,-0.023997705,-0.013906521,0.018588515,0.052793989
8,-0.032530568,-0.11402206,-0.149181921,-0.13967422,-0.151374288,-0.102101506,-0.092923699,-0.030428547,-0.045108665,-0.014040491,0.000176008,0.01243344,-0.035110379,-0.009010074,0.014693606,4.186494887,0.01863806,0.082250538,-0.025006252,-0.015713346,0.019142705,0.05543057
9,-0.185097384,-0.120247136,-0.080548585,-0.077714767,-0.114281325,-0.068996911,0.016325417,-0.030135045,-0.116593171,0.017695782,-0.015290755,-0.074864783,-0.03951401,-0.034870376,-0.021457986,19.44031534,0.014570424,0.065999739,-0.02241295,-0.009841391,0.01614021,0.042859024
10,-0.06914442,-0.020128271,0.01650533,0.03925759,-0.113410926,-0.107286787,-0.074872597,-0.051808863,-0.086532831,-0.004427029,0.01976624,0.019556769,-0.030302864,-0.006333671,0.008382883,1.646437609,0.019283457,0.089031512,-0.025596589,-0.017337222,0.020625247,0.062316127
11,-0.01751416,0.045714392,-0.191348659,-0.044601106,-0.114822575,-0.001709041,-0.029322452,-0.101543203,-0.039852875,0.002957954,-0.024588155,-0.071331411,-0.006570203,0.012739272,-0.015310111,17.31992564,0.015561772,0.0718833,-0.023614008,-0.011079329,0.017639263,0.047790884
12,0.001370119,-0.190003247,-0.107866163,-0.104174325,-0.155025438,-0.072027873,-0.042360094,-0.11940577,-0.103307664,-0.064110926,0.009938926,-0.042253942,-0.034326478,-0.022226486,-0.016523003,13.35310924,0.017047744,0.073245653,-0.02475605,-0.012012533,0.018140837,0.047555941
13,-0.169062467,-0.15652343,-0.083509953,-0.143216947,-0.085107843,-0.094883262,-0.051645526,-0.115308281,-0.000850524,-0.031078304,-0.043988357,-0.079508082,-0.026202818,-0.018978874,-0.051077696,16.53992359,0.015382447,0.066824778,-0.02327769,-0.010342556,0.016781211,0.043118852
14,-0.076152575,0.041452208,-0.156087697,-0.026875722,-0.037442882,0.037642292,-0.013687906,-0.044909448,-0.025207186,-0.021162211,-0.077656205,-0.053199607,-0.018507978,-0.048632928,-0.016665754,15.79811463,0.015570732,0.072681866,-0.024420223,-0.011307638,0.018703851,0.049115017
