Id,ratio[0],ratio[1],ratio[2],ratio[3],ratio[4],ratio[5],ratio[6],ratio[7],ratio[8],ratio[9],ratio[10],ratio[11],ratio[12],ratio[13],ratio[14],ratio[15],ratio[16],ratio[17],ratio[18],ratio[19],ratio[20],ratio[21],ratio[22],ratio[23],ratio[24],ratio[25],ratio[26],ratio[27],ratio[28],ratio[29],ratio[30],ratio[31],ratio[32],ratio[33],ratio[34],ratio[35],ratio[36],ratio[37],cd,cl,cm,cy,Cx,Cy,Cz,Cmx,Cmy,Cmz,Volume
0,-0.085833333,0.0354,0.030385763,0.111439883,-0.036323797,-0.068120063,-0.024967259,0.087931356,0.046700709,-0.082288428,0.005776163,-0.113614336,0.351241552,0.309191233,0.267817771,-0.005520449,0.038147445,0.146643623,0.286024371,0.334931008,-0.02921419,0.053542389,0.221860281,0.004605539,0.183992278,-0.017192186,0.063858994,0.149386163,0.046282681,-0.011239769,-0.021801922,0.029053436,-0.188754723,-0.15353837,-0.108622521,-0.001972162,-0.108761224,-0.028339112,0.98694296,3.635568473,-20.69064803,3.695558071,0.724189626,3.65821216,-5.28E-05,0.001738211,0.000729181,20.4534446,13.052404
1,0.268611111,0.0606,-0.015540843,-0.000161318,0.055956948,0.128556639,-0.105849837,0.098854377,-0.079299336,-0.141454381,-0.10636229,-0.09622721,0.182550698,0.387586793,0.170424494,0.111343044,0.005366799,0.101783611,-0.043206005,-0.052479323,0.009532085,0.202290878,0.217118814,0.130767206,0.049090863,0.072085691,0.064479101,0.120424647,0.144241877,0.026867024,-0.050781594,0.088786919,-0.166843212,-0.185661243,-0.141522334,0.000611461,-0.058782368,-0.079631841,0.959850392,3.846420629,-21.92354686,3.90400672,0.68333277,3.85720105,-5.36E-05,0.001362522,0.000486684,21.6366431,10.926001
2,0.192222222,0.0774,0.144884229,0.207000432,0.155429244,-0.052022574,0.081784022,-0.107060799,-0.139685813,0.00655105,-0.063972676,-0.015330236,0.450041007,0.060673048,0.032472199,0.36320884,0.144818593,0.134006398,0.308356103,0.329415331,0.275008921,0.18064304,0.259323093,0.092690061,0.012086098,0.006235813,0.020304928,-0.030223593,0.12912529,0.066018106,-0.087803839,0.050460737,-0.09743453,-0.016181036,-0.064115747,0.012208162,-0.1013653,-0.04174956,0.814320275,3.168940955,-17.6470635,3.218025684,0.586684007,3.19623021,8.22E-06,0.002954104,0.00021859,17.5727095,12.568018
3,0.018055556,0.1614,0.004013145,0.296399265,-0.24394794,0.114058298,-0.038201954,0.021751155,-0.070413041,-0.008380448,-0.0414854,-0.002258515,-0.041849107,-0.050323037,0.221339935,0.313098692,0.296322662,-0.078720779,0.354238007,-0.012966742,0.245050808,0.073066226,0.279974253,0.265965325,0.026176452,0.091132389,0.130130521,0.027786453,0.028513669,-0.018100557,-0.060057249,-0.095687686,0.010960841,-0.096828612,-0.054228985,-0.137861923,0.000388022,-0.023870401,0.861576692,3.497475892,-19.62567206,3.549056768,0.610091941,3.53476201,-3.48E-05,0.00142778,0.000266692,19.593555,11.597224
4,-0.043055556,0.258,0.077390083,0.19432097,-0.110883399,-0.152985754,-0.086957925,-0.108341655,-0.004368654,-0.091815953,-0.040109762,-0.08981836,0.393818451,0.426781419,0.359462305,0.087120185,0.214859819,0.377926683,-0.031270561,0.215544322,0.231369298,0.167543061,0.123774722,0.138526711,0.152758905,0.13496262,0.174166368,-0.000493579,0.085864429,0.057683025,-0.091228562,0.036305004,-0.088219295,-0.195009459,-0.031556672,-0.002255005,-0.053531693,-0.067211872,0.995148456,3.440761868,-19.37279539,3.501798391,0.747343513,3.47937051,-1.51E-05,0.000973469,-0.000109007,19.2723561,13.605899
5,-0.116388889,-0.0528,0.181322675,-0.03341868,-0.112319004,0.087535221,-0.072072438,-0.084408607,-0.019342939,-0.130970139,-0.136486334,-0.041705221,0.075059267,0.160259286,0.19914069,0.109683127,0.189941015,0.227954137,-0.004629164,0.013180013,0.240039173,0.194037838,0.275707154,0.108617613,0.056422474,0.070686889,-0.017663887,-0.031513903,0.030071132,-0.007898369,0.046872525,0.026687501,0.037370266,0.01415584,-0.193358325,-0.085593104,-0.046523487,-0.039504497,1.146115998,4.15553788,-24.29971151,4.225364208,0.845667917,4.1965003,-8.00E-05,0.001782198,0.000578801,24.1782835,11.726328
6,0.183055556,0.216,-0.068003912,0.214187348,0.174624242,0.11319752,-0.037117102,-0.016404484,-0.04311702,-0.058609835,0.027921754,-0.137595486,0.327024192,0.021455872,0.134185874,0.312310837,-0.013526234,0.093103744,0.051774747,0.246033303,0.299031907,0.027285129,0.242693686,-0.020085971,0.014545283,0.177563251,0.007865754,0.181997115,0.138189793,0.04003356,0.020521956,-0.07547624,-0.092137002,-0.163549346,-0.029624691,0.005145221,-0.100206785,-0.069695215,0.869995868,3.273838022,-18.62068545,3.326550961,0.631475142,3.31023148,9.99E-06,0.002624712,3.24E-06,18.5128283,11.255688
7,-0.049166667,0.2328,0.031338896,0.280566181,-0.16014465,-0.143049097,0.103612757,0.103594502,-0.066062038,-0.089621191,-0.022246223,0.015929541,0.32515427,0.402398735,0.360407832,0.220261803,0.287083365,0.082140283,0.107736622,-0.021511507,0.103827562,0.008937749,0.26258839,0.290407875,0.079220512,0.075994482,0.156480212,0.160706331,0.002329401,0.025331622,-0.099885173,-0.035998559,0.002638264,-0.127761025,-0.013219578,-0.066475922,-0.082930841,-0.018593273,0.845411241,3.346766949,-18.34142688,3.397587299,0.6053476,3.37704667,-2.54E-06,0.000712114,-2.16E-05,18.2558826,12.490655
8,0.360277778,-0.0486,-0.056718124,0.147517781,-0.18779778,0.142664906,0.113436908,-0.043572576,0.059406618,-0.078812665,-0.024029228,0.01301332,0.030487785,0.061196742,0.421133063,0.395594758,0.11646699,0.063705235,-0.025557282,0.053813672,0.02475089,-0.00977696,-0.007779616,0.102046501,0.062849555,0.134800578,0.110353369,0.069552744,0.131969203,0.024889241,0.029119889,0.005059092,-0.123551925,-0.122052624,-0.019959481,-0.133122315,0.006175692,-0.061264545,0.792814896,3.510405432,-19.32576382,3.557158232,0.541891763,3.53400162,5.96E-05,0.00194268,-6.90E-05,19.2376094,10.816861
9,-0.1225,-0.0024,0.04324169,0.275091017,-0.117481763,0.082871098,-0.10280684,-0.114491779,-0.114553253,0.016226165,-0.090068582,-0.040551833,0.171614311,0.109970296,0.125355585,0.085140865,-0.034542998,-0.058630099,0.142374288,-0.049477802,0.258423438,0.075613659,0.182389554,0.114219036,0.103824643,0.063107073,0.138116466,0.110636826,0.147760443,0.088495213,-0.042556067,0.064384483,-0.158031649,-0.092464363,-0.03122941,-0.01069247,0.012728791,-0.019421252,0.907164486,3.768598591,-21.05354138,3.82269907,0.637738392,3.79991696,-1.76E-05,0.001976406,-9.92E-06,20.9656116,11.319829
