Id,ratio[0],ratio[1],ratio[2],ratio[3],ratio[4],ratio[5],ratio[6],ratio[7],ratio[8],ratio[9],ratio[10],ratio[11],ratio[12],ratio[13],ratio[14],ratio[15], Cx , CY , CZ , CMx , CMY , CMZ 
0,0.049896612,-0.176022503,-0.087989419,-0.165777345,-0.154705018,-0.187531758,0.016028949,-0.088758696,-0.030709937,-0.033664407,-0.042062782,-0.072343357,-0.006268176,-0.045765733,-0.029778665,3.247203397,0.020755839,0.08760673,-0.026740666,-0.017456297,0.021058021,0.059190832
1,0.043172142,-0.082050466,-0.10764268,-0.03222511,-0.111960394,0.043038489,-0.017525989,-0.093897871,-0.108233796,-0.02219071,0.012695537,0.010374518,-0.010237597,-0.007896115,-0.015059111,11.37932377,0.016776986,0.078623447,-0.025103921,-0.013465695,0.019180432,0.053432722
2,-0.18514124,-0.059789047,-0.058582732,0.049348963,-0.126756888,-0.021459017,-0.111896152,-0.036971697,-0.119482698,-0.024408491,-0.048595253,0.009080392,0.002330868,-0.020386252,-0.033648054,11.13894587,0.016595621,0.076102611,-0.024519288,-0.012947661,0.018726906,0.051437114
3,-0.101615168,-0.113762564,-0.041297131,-0.15428163,0.002932,-0.036791584,0.015079649,-0.056853097,-0.01341534,0.005350826,-0.039903307,-0.01640931,-0.052476241,-0.019298388,-0.043265113,14.121969,0.015300283,0.071588431,-0.023553184,-0.011525484,0.017737587,0.048165247
4,-0.162524638,0.038716321,-0.022519308,-0.053261585,-0.056947004,-0.085374837,-0.0416525,-0.083800225,-0.032557228,-0.054756769,-0.017750681,0.013734544,-0.026068464,-0.056992629,-0.03700149,14.63630246,0.015692395,0.071825839,-0.02371436,-0.01107498,0.017906726,0.048236556
5,-0.024617141,0.033849786,-0.017031081,-0.006868842,-0.17520063,0.022932428,0.017978969,-0.08558413,-0.06407496,-0.008946179,-0.05842331,-0.064892223,-0.053696955,-0.003817125,-0.057537405,4.616869918,0.020046287,0.087974851,-0.027002664,-0.01671907,0.0222711,0.061346427
6,-0.125327203,0.004421702,-0.086113745,-0.193236978,-0.153740816,-0.032193232,-0.109809445,-0.097349206,-0.079957364,-0.065994347,0.010859376,-0.066039566,-0.028800944,-0.047428351,-0.031991344,17.93215261,0.015342167,0.065326707,-0.02262619,-0.009371273,0.016290459,0.041780646
7,-0.182892487,-0.180658491,0.013147472,-0.095153098,-0.101554936,-0.17120212,-0.065574239,-0.103686205,-0.036378198,-0.010140075,-0.046489248,-0.07082137,0.019272839,-0.001084115,-0.021840682,2.525141902,0.019960785,0.085710507,-0.026331322,-0.017390853,0.020815116,0.058702647
8,-0.064866927,-0.067177937,-0.070264317,-0.060076563,-0.071235498,0.000388402,-0.029265982,-0.05049136,-0.017133161,-0.036461105,-0.012013995,0.018857041,0.011180746,-0.050363367,-0.059535091,17.21710247,0.014749694,0.069590277,-0.023181372,-0.010577209,0.017313356,0.046351247
9,-0.153407974,-0.046595224,0.017935375,-0.099966526,-0.133381329,-0.111664152,-0.008680612,-0.012575699,-0.088507327,-0.056900696,0.002321709,-0.039106279,-0.04542435,0.002274578,-0.057280077,8.037798629,0.017714756,0.078608315,-0.024736046,-0.013993711,0.0192839,0.053602162
10,-0.082574929,-0.15157807,-0.003624835,-0.001804133,0.014764743,0.010893858,-0.075966479,-0.062342835,-0.028159821,-0.073775018,0.00882069,-0.046879613,-0.033430553,0.006870222,-0.019627536,1.231902788,0.019767368,0.087415782,-0.026411703,-0.017097686,0.021758697,0.061182674
11,-0.057455876,-0.12498249,-0.115149446,0.04174228,-0.082586754,-0.183290789,-0.068151287,-0.032477667,-0.081068471,-0.0786216,0.019635014,-0.010641623,-0.016774125,-0.017366604,-0.024830532,0.887854956,0.020900712,0.089529491,-0.027178144,-0.017884239,0.021783431,0.06157968
12,-0.194916547,-0.127580359,-0.042439494,-0.182163293,-0.171428935,-0.082155994,-0.093522334,-0.116406972,-0.072695801,-0.000348943,-0.052899962,-0.013897833,-0.040265656,0.004243346,0.015355204,13.11597358,0.01617808,0.069153758,-0.023548646,-0.011227908,0.016845721,0.044802872
13,-0.049657794,-0.186229121,0.031401068,-0.017975626,-0.067702063,-0.001126712,-0.083712613,-0.042522173,-0.100204898,0.008374711,-0.071044173,-0.026922994,-0.034839526,-0.044929132,-0.009382655,0.414003905,0.020845904,0.090578616,-0.027103354,-0.018328515,0.022337843,0.063154702
14,-0.069182363,-0.063321994,0.028850737,0.031175688,-0.094273389,-0.163648813,-0.049073063,-0.047551067,-0.005818301,0.003350997,0.013921064,-0.000792476,-0.027573356,-0.010337152,-0.049047261,10.37805764,0.016808863,0.079665471,-0.024145706,-0.013802422,0.018538375,0.054771411
15,-0.036630399,-0.043342648,-0.192903775,0.033463123,-0.041390201,-0.073260588,-0.027934612,-0.002099077,-0.087274588,-0.021286449,0.004788257,-0.07368185,-0.046870576,0.010169497,0.018638691,14.85801407,0.016489802,0.075408655,-0.025276973,-0.012295767,0.01925706,0.050993238
16,-0.172770275,-0.116852587,-0.098366962,-0.169266994,-0.051581072,0.03142942,0.010000359,0.004123248,0.01924414,-0.055098639,-0.050892924,0.001415249,0.003219332,0.017960723,-0.003047843,10.24225445,0.016102893,0.07342967,-0.023563888,-0.012675709,0.017920602,0.049931267
17,-0.137740583,-0.192809181,-0.117168977,-0.145984885,-0.145577597,-0.154459711,-0.096284366,-0.018558079,-0.07551056,0.019813039,-0.034604785,-0.016994534,0.012968979,-0.016406386,-0.027462845,9.311446937,0.017352849,0.076104985,-0.024341009,-0.013872511,0.017937747,0.050492828
18,-0.161437605,-0.134130837,-0.190290043,-0.11672542,-0.084825872,-0.134999685,-0.016843489,-0.110962121,-0.053584083,-0.058605122,-0.015125804,-0.04019654,0.009170937,0.003208883,-0.054082643,8.775237217,0.017771649,0.077140713,-0.024828782,-0.014067726,0.01872687,0.051340159
19,-0.133139216,-0.032129647,-0.196708051,-0.06934321,-0.183746484,-0.095366427,-0.054893154,0.007036451,-0.110748316,0.000303453,-0.041085829,-0.079268221,-0.020105508,0.009196659,-0.04512038,18.60908231,0.015574391,0.067899651,-0.02313789,-0.010373366,0.016803234,0.043908238
20,-0.091977579,-0.1548397,-0.13333649,-0.015854457,-0.191943369,-0.027001631,-0.040474133,-0.089849648,0.002099681,-0.019156606,-0.009475664,-0.062760518,-0.042354132,-0.051657666,0.00784603,19.16784638,0.015181044,0.066242307,-0.022736073,-0.009751156,0.016216778,0.042232574
21,-0.099498822,-0.197932488,-0.132822279,-0.021399306,-0.19589076,-0.186130806,0.003789328,-0.005876077,-0.060582401,-0.016543138,-0.007089012,0.015281447,-0.014242306,-0.058564217,0.01224544,13.56264568,0.016452297,0.073356489,-0.024158086,-0.012469211,0.017490951,0.048171627
22,-0.061568808,0.029016003,-0.094816075,0.013146991,-0.167507345,-0.192535384,-0.013232579,-0.022208906,-0.008662576,-0.070677561,-0.06701115,-0.041838691,-0.054859275,-0.00250867,-0.006431559,6.93162644,0.018788572,0.08220691,-0.025391347,-0.014775189,0.019820443,0.055746872
23,0.013518794,-0.143117067,-0.143135058,-0.124706246,-0.16089844,-0.038206866,-0.099951979,-0.03367127,-0.077558512,-0.062526482,-0.071847595,-0.043604148,-0.031728897,0.010931528,-0.018081277,5.9457588,0.019126547,0.081106304,-0.026183645,-0.014940255,0.020123982,0.053907143
24,-0.044373964,-0.050151515,-0.014865409,-0.009166282,-0.124224004,-0.120811172,0.011024971,-0.057971803,-0.09355707,-0.052714177,-0.014013296,-0.05188119,0.009881777,-0.023355628,0.004377915,16.94899795,0.015536953,0.072415289,-0.023471615,-0.011190712,0.017392085,0.048159747
25,-0.167350258,0.044399947,0.011637204,-0.105388849,-0.115666221,-0.113511331,-0.071972972,-0.100289576,-0.001673062,-0.048112845,-0.030324379,-0.050460758,-0.013226097,0.018742968,-0.032880275,12.34348206,0.016389474,0.073583812,-0.023817015,-0.011919231,0.017938996,0.049465818
26,0.029239699,0.011127638,-0.172481116,0.018761911,-0.163696885,0.033470287,-0.085895896,-0.015299014,0.01403844,-0.030512774,-0.032361789,-0.032320853,0.004127441,-0.048915625,-0.040212426,2.004358683,0.020075951,0.089536346,-0.026307434,-0.017745782,0.021387009,0.06234792
27,-0.133989148,0.003921106,-0.077710438,0.039692099,-0.012804842,-0.15393726,-0.031636982,-0.044956741,-0.024341506,0.01206595,-0.019231656,-0.049567526,-0.009140654,-0.040464037,0.008397463,3.772006536,0.01892456,0.087204077,-0.025533642,-0.016764243,0.020514528,0.061148862
28,-0.146145566,-0.027666032,-0.179844259,-0.109923415,-0.060307027,-0.100944572,-0.00427056,-0.069008728,0.015713959,-0.075955926,-0.001284984,-0.02634873,0.013847476,-0.02834854,-0.008358867,4.274506555,0.018288563,0.081894923,-0.024922329,-0.015628135,0.019426743,0.056025926
29,0.034670212,-0.146966346,-0.183912882,-0.19056075,-0.01887038,-0.078732895,0.007843604,-0.107839244,0.011487729,-0.029120139,-0.074497721,-0.012111889,-0.032340408,-0.031265043,-0.039703899,10.817899,0.017255674,0.076121845,-0.025005879,-0.013148808,0.01895301,0.050535131
30,-0.038441487,0.017359657,-0.049442376,-0.177818018,-0.042390271,-0.123637439,-0.113268116,-0.061325963,-0.058576925,-0.005023776,0.005845069,-0.02152135,0.000469997,-0.054791916,0.011529698,6.438014441,0.017927159,0.081151629,-0.025022395,-0.014710642,0.019407855,0.055500798
31,-0.002964837,-0.054203911,0.037306724,-0.078542237,0.029172355,-0.176477598,-0.03578925,0.003331545,-0.105328922,-0.063804684,-0.0765522,-0.004527015,-0.022425137,-0.038706004,-0.035102298,16.04434361,0.016220659,0.073799089,-0.024298768,-0.011256365,0.01845787,0.049763433
32,-0.029723192,-0.105516476,0.045022742,-0.088395751,-0.001422463,-0.144125213,-0.097324098,-0.109376218,-0.03495151,-0.027848097,-0.036541186,-0.045954347,-0.011203642,-0.026301218,-0.028227075,15.50783166,0.015831327,0.07247605,-0.023620203,-0.011110999,0.017623558,0.048274039
33,-0.014797866,-0.033896767,-0.066332939,-0.186004984,-0.032789447,0.012759202,-0.020220472,-0.066212417,-0.113029342,-0.06998538,-0.063948699,-0.019832163,-0.004912273,-0.013210412,0.014097912,2.723890314,0.019482067,0.085928312,-0.026131193,-0.016441722,0.021111766,0.05927986
34,-0.052001146,0.048880051,-0.112132867,-0.174250243,0.038722799,-0.167743765,-0.119871898,-0.029192316,-0.0205961,0.011157973,0.015168789,-0.037256061,-0.039846948,-0.009046879,-0.022967836,6.148332886,0.018620446,0.081950531,-0.025789506,-0.01488795,0.02015092,0.05661309
